"id","E_blast_wave1","E_blast_wave2","E_blast_wave3","E_blast_wave4","E_blast_wave5","E_blast_wave6","E_blast_wave7","E_blast_wave8","E_blast_wave9","E_blast_wave10","adding_factors","additional_comment","author_id"
"12",8,10,9,9,10,10,9,3,5,6,"","","31"
"13",6,6,6,7,7,3,8,7,2,5,"","","32"
"14",5,5,8,10,3,1,10,1,8,3,"","","33"
"15",9,10,6,6,8,6,4,5,2,1,"","","36"
"16",5,10,9,8,8,8,9,4,3,3,"","","37"
"17",4,10,5,7,9,9,8,3,4,2,"","","38"
"18",8,9,9,7,8,9,8,4,6,1,"","","41"
"19",1,2,6,3,5,4,7,8,9,10,"","","42"
"20",8,3,3,7,6,4,2,7,7,4,"","","43"
"21",10,8,4,6,8,4,9,8,9,3,"","","44"
"22",8,10,8,5,10,5,8,5,5,5,"","","45"
"23",10,10,8,6,10,6,8,9,6,3,"","","46"
