"id","E_fire1","E_fire2","E_fire3","E_fire4","E_fire5","E_fire6","E_fire7","E_fire8","E_fire9","E_fire10","adding_factors","additional_comment","author_id"
"12",7,10,10,7,8,8,9,3,5,6,"","","31"
"13",3,6,3,7,7,3,5,7,2,5,"","","32"
"14",9,5,8,10,4,1,10,1,8,3,"","","33"
"15",8,10,7,7,9,8,3,8,2,1,"","","36"
"16",3,10,9,7,7,7,8,5,3,3,"","","37"
"17",3,10,5,7,6,4,6,3,4,2,"","","38"
"18",8,9,6,5,7,8,6,4,6,1,"","","41"
"19",1,2,3,4,6,5,7,8,9,10,"","","42"
"20",10,2,3,5,5,4,2,8,8,3,"","","43"
"21",10,1,4,3,8,8,9,8,9,3,"","","44"
"22",8,10,8,5,10,5,8,5,5,5,"","","45"
"23",10,10,8,6,10,6,8,9,6,3,"","","46"
