"id","S_fire1","S_fire2","S_fire3","S_fire4","S_fire5","S_fire6","S_fire7","S_fire8","S_fire9","S_fire10","adding_factors","additional_comment","author_id"
"6",10,8,10,6,5,5,8,10,9,4,"","","31"
"7",5,7,5,3,3,3,8,8,5,4,"","","32"
"8",10,5,7,3,1,1,1,1,1,1,"","","33"
"9",7,8,9,3,2,6,7,8,6,6,"","","36"
"10",7,9,10,5,2,6,7,6,3,4,"","","37"
"11",6,8,10,1,1,4,6,5,4,5,"","","38"
"12",7,9,7,4,4,5,7,7,4,6,"","","41"
"13",1,2,3,4,5,6,7,8,9,10,"","","42"
"14",9,6,8,2,5,1,10,7,7,5,"","","43"
"15",9,7,8,3,3,3,8,9,7,5,"","","44"
"16",8,8,6,3,3,6,8,10,10,3,"","","46"
